DN,SurfaceTemp,Temperature,SurfaceSalCorrected,Salinity,dayDN,dailyAverage,oceanSalEstimate,AvgEstimatedTemp
2013-12-02 17:55:00,10.39,10.31,31.835053307700576,30.834214616382955,2013-12-02,10.8125,31.334633962041764,10.504166666666668
2013-12-03 18:50:00,10.08,10.47,31.976941870864312,30.41688678302333,2013-12-03,10.904166666666667,31.19691432694382,10.484722222222222
2013-12-04 19:05:00,9.85,9.99,32.08989498775834,30.422200592707156,2013-12-04,10.945833333333333,31.25604779023275,10.261944444444444
2013-12-05 10:40:00,9.44,9.63,32.236161739904844,30.60452989392465,2013-12-05,10.725,31.420345816914747,9.931666666666667
2013-12-06 21:30:00,9.04,9.23,32.20375820362324,30.82962896529274,2013-12-06,9.987499999999999,31.51669358445799,9.419166666666667
2013-12-07 12:05:00,8.63,8.4,32.297365764259794,30.66074228644919,2013-12-07,9.7875,31.479054025354493,8.939166666666667
2013-12-08 12:50:00,8.18,8.27,32.32174434852338,30.53643881133071,2013-12-08,10.025,31.429091579927046,8.825000000000001
2013-12-09 14:10:00,8.29,8.27,32.47508181500388,30.61206219162478,2013-12-09,8.983333333333333,31.54357200331433,8.514444444444443
2013-12-10 14:10:00,8.33,8.27,32.342436687694025,30.61206219162478,2013-12-10,8.933333333333334,31.477249439659403,8.511111111111111
2013-12-11 15:10:00,8.17,8.3,32.02732877101888,30.37999721267037,2013-12-11,8.845833333333333,31.203662991844624,8.43861111111111
2013-12-14 16:55:00,8.66,8.71,32.709446897241946,31.769038144958078,2013-12-14,9.0875,32.23924252110001,8.819166666666668
2013-12-15 06:35:00,8.909999999329449,8.71,32.59814896338045,31.769038144958078,2013-12-15,9.0625,32.18359355416926,8.89416666644315
2013-12-16 18:10:00,8.890000001005829,8.83,32.62250900244094,31.84835323745721,2013-12-16,9.145833333333334,32.23543111994908,8.955277778113055
2013-12-17 09:40:00,8.7,8.83,32.72729189345429,31.84835323745721,2013-12-17,9.075,32.287822565455755,8.868333333333334
2013-12-18 10:15:00,8.700000000670551,8.71000000100583,32.65425685794033,31.82420593083254,2013-12-18,9.254166666666666,32.23923139438644,8.888055556114349
2013-12-19 11:05:00,8.499999999329448,8.71000000100583,32.76029405565687,31.82420593083254,2013-12-19,9.129166666666666,32.29224999324471,8.779722222333982
2013-12-20 11:40:00,8.59,8.61,32.99843902292988,31.994114866761134,2013-12-20,9.066666666666666,32.496276944845505,8.755555555555555
2013-12-21 08:55:00,8.51,8.520000000670551,32.606359735579204,32.2164728235598,2013-12-21,9.1,32.4114162795695,8.710000000223516
2013-12-22 11:35:00,8.82,8.56,32.58951892396464,31.753023261741053,2013-12-22,9.225,32.17127109285285,8.868333333333334
2013-12-23 12:45:00,8.93,8.94,32.582836722530416,31.788191763643244,2013-12-23,9.545833333333333,32.18551424308683,9.13861111111111
2013-12-24 13:50:00,8.55,8.63,32.59341957192608,31.76877017324017,2013-12-24,9.583333333333334,32.181094872583124,8.921111111111111
2013-12-25 14:30:00,8.36,8.63,32.77833046649494,31.76877017324017,2013-12-25,9.604166666666666,32.27355031986755,8.864722222222222
2013-12-26 15:00:00,8.13,8.38,32.89654762417509,32.03928070981607,2013-12-26,9.1875,32.467914166995584,8.565833333333334
2013-12-27 14:45:00,8.359999999664723,8.38,32.79653802122989,32.03928070981607,2013-12-27,9.329166666666667,32.41790936552298,8.689722222110463
2013-12-28 15:30:00,8.550000001005829,8.400000000335277,32.81734536108636,32.04193316251423,2013-12-28,9.375,32.4296392618003,8.775000000447035
2013-12-29 15:45:00,8.57,8.619999998994171,33.10728510624588,32.07972147250504,2013-12-29,9.475,32.59350328937546,8.888333332998057
2013-12-30 16:15:00,8.7,8.649999998994172,32.970431663254416,32.36603428687003,2013-12-30,9.362499999999999,32.668232975062224,8.90416666633139
2013-12-31 08:20:00,8.360000007711351,8.649999998994172,32.97596550349623,32.36603428687003,2013-12-31,9.5,32.67099989518313,8.836666668901842
2014-01-01 08:10:00,8.48,8.58,32.96212983305027,32.33996995302182,2014-01-01,9.612499999999999,32.651049893036046,8.890833333333333
2014-01-02 07:40:00,8.579999999664723,8.510000001341103,32.67410188200356,32.293106765396935,2014-01-02,9.4,32.48360432370025,8.830000000335275
2014-01-03 20:15:00,8.62,8.42,32.49614318805642,32.283044058899314,2014-01-03,9.549999999999999,32.389593623477865,8.863333333333332
2014-01-04 11:55:00,8.39,8.28,33.0278393010426,32.30184910611186,2014-01-04,8.991666666666667,32.66484420357723,8.55388888888889
2014-01-05 12:40:00,8.33,8.139999995976687,33.0501954145513,32.54809330670092,2014-01-05,8.6625,32.79914436062611,8.377499998658896
2014-01-06 12:35:00,8.42,8.559999999329449,32.85888551802662,32.318859845012106,2014-01-06,8.5,32.58887268151936,8.493333333109817
2014-01-07 14:15:00,8.43,8.45,32.79187670469768,32.10782670467843,2014-01-07,8.521739130434783,32.44985170468806,8.467246376811595
2014-01-08 01:15:00,8.610000000335276,8.55,32.52921639273049,31.909469712120035,2014-01-08,8.820833333333333,32.21934305242526,8.660277777889537
2014-01-09 14:50:00,8.58,8.659999999664723,32.479248181366025,31.656635685675997,2014-01-09,9.0375,32.06794193352101,8.75916666655491
2014-01-10 15:50:00,8.69,8.659999999664723,32.37549019307501,31.656635685675997,2014-01-10,9.241666666666667,32.0160629393755,8.863888888777131
2014-01-11 15:50:00,8.950000000335276,8.69,32.365258361861315,31.70122026081832,2014-01-11,9.1375,32.03323931133982,8.925833333445093
2014-01-12 16:00:00,8.95,8.94,32.39218328732486,31.69787992995554,2014-01-12,8.825000000000001,32.0450316086402,8.905000000000001
2014-01-13 06:45:00,9.07,8.96,32.3072382212955,31.766850337676136,2014-01-13,8.870833333333334,32.03704427948582,8.966944444444445
2014-01-14 07:50:00,8.91,9.09,32.0057181381864,31.68576802517161,2014-01-14,8.704166666666667,31.845743081679004,8.901388888888889
2014-01-16 18:45:00,8.8,9.09,32.778576244596266,31.68576802517161,2014-01-16,8.549999999999999,32.23217213488394,8.813333333333333
2014-01-17 09:30:00,8.829999996982515,8.63,32.717840016651735,30.282587573017143,2014-01-17,8.700000000000001,31.500213794834437,8.719999998994174
2014-01-18 08:50:00,8.97,8.85,32.41999888538923,30.16254613667396,2014-01-18,8.795833333333333,31.291272511031593,8.871944444444445
2014-01-19 10:35:00,8.830000001341105,8.85,32.59724232838923,30.16254613667396,2014-01-19,8.633333333333333,31.379894232531594,8.771111111558147
2014-01-20 10:35:00,8.87000000067055,8.78000000167638,32.549614433818974,30.278297973957315,2014-01-20,8.604166666666666,31.413956203888144,8.751388889671198
2014-01-21 09:45:00,8.86,8.78000000167638,32.53145702676349,30.278297973957315,2014-01-21,8.670833333333333,31.404877500360403,8.77027777833657
2014-01-22 11:50:00,9.03,8.91,32.3545074680124,29.958716030315877,2014-01-22,8.683333333333334,31.15661174916414,8.874444444444444
2014-01-23 12:30:00,8.8,8.91,32.472050876031844,29.958716030315877,2014-01-23,8.725,31.21538345317386,8.811666666666667
2014-01-24 12:00:00,8.84,8.65,32.59910549888787,30.463427510839363,2014-01-24,8.804166666666667,31.531266504863616,8.764722222222224
2014-01-25 14:20:00,8.87000000067055,8.78,32.57155652921234,30.56381658843941,2014-01-25,8.770833333333334,31.567686558825873,8.806944444667963
2014-01-26 15:20:00,8.79,8.81,32.579407950574684,30.46893979696154,2014-01-26,8.916666666666666,31.524173873768113,8.838888888888889
2014-01-27 16:30:00,9.02,8.95,32.45607097161099,30.343498474359446,2014-01-27,8.958333333333334,31.399784722985217,8.976111111111111
2014-01-28 05:20:00,9.08999999832362,8.95,32.51764674429633,30.343498474359446,2014-01-28,8.979166666666666,31.43057260932789,9.006388888330095
2014-01-29 05:50:00,9.55,9.06,32.2696620563102,30.3961430101591,2014-01-29,9.029166666666667,31.332902533234652,9.213055555555556
2014-01-30 18:20:00,9.33,9.26,32.32136949906841,30.10936740059673,2014-01-30,9.012500000000001,31.21536844983257,9.200833333333334
2014-01-31 07:05:00,9.3,9.26,32.08911171860663,30.10936740059673,2014-01-31,8.987499999999999,31.09923955960168,9.1825
2014-02-01 08:35:00,9.28,9.18,32.05865445626381,30.063471285699144,2014-02-01,8.945833333333335,31.061062870981477,9.135277777777778
2014-02-02 20:35:00,9.52,9.110000001005828,32.15578488259644,29.998860594834422,2014-02-02,9.029166666666667,31.07732273871543,9.219722222557499
2014-02-03 22:00:00,9.39,9.08,32.3977274179259,30.06899153050865,2014-02-03,8.941666666666666,31.233359474217274,9.137222222222222
2014-02-04 23:25:00,9.4,8.82,32.448610931786746,30.148749888094727,2014-02-04,8.9,31.298680409940737,9.04
2014-02-05 00:30:00,9.330000000670552,8.82,32.4138376750107,30.148749888094727,2014-02-05,8.791666666666666,31.281293781552712,8.980555555779071
2014-02-06 13:40:00,8.160000003688037,8.66,32.74717977624388,30.13157921517788,2014-02-06,8.645833333333334,31.43937949571088,8.488611112340458
