YY,MM,DD,hh,WTMP
2014,02,01,20,9.0
2014,02,01,21,9.0
2014,02,01,22,9.0
2014,02,01,23,9.0
2014,02,02,00,9.1
2014,02,02,01,9.0
2014,02,02,02,8.9
2014,02,02,03,8.9
2014,02,02,04,8.9
2014,02,02,05,9.0
2014,02,02,06,9.0
2014,02,02,07,9.0
2014,02,02,08,9.0
2014,02,02,09,8.9
2014,02,02,10,8.9
2014,02,02,11,8.9
2014,02,02,12,9.0
2014,02,02,13,9.0
2014,02,02,14,9.0
2014,02,02,15,8.9
2014,02,02,16,9.0
2014,02,02,17,9.0
2014,02,02,18,9.3
2014,02,02,19,9.2
2014,02,02,20,9.2
2014,02,02,21,9.2
2014,02,02,22,9.2
2014,02,02,23,9.2
2014,02,03,00,9.1
2014,02,03,01,9.0
2014,02,03,02,9.0
2014,02,03,03,9.0
2014,02,03,04,9.0
2014,02,03,05,9.0
2014,02,03,06,9.0
2014,02,03,07,8.9
2014,02,03,08,8.9
2014,02,03,09,8.9
2014,02,03,10,8.9
2014,02,03,11,8.9
2014,02,03,12,8.9
2014,02,03,13,8.9
2014,02,03,14,8.9
2014,02,03,15,8.9
2014,02,03,16,8.9
2014,02,03,17,8.9
2014,02,03,18,8.9
2014,02,03,19,8.9
2014,02,03,20,8.9
2014,02,03,21,8.9
2014,02,03,22,9.0
2014,02,03,23,9.0
2014,02,04,00,9.0
2014,02,04,01,8.9
2014,02,04,02,8.9
2014,02,04,03,8.9
2014,02,04,04,8.9
2014,02,04,05,8.9
2014,02,04,06,8.9
2014,02,04,07,8.9
2014,02,04,08,8.9
2014,02,04,09,8.8
2014,02,04,10,8.8
2014,02,04,11,8.8
2014,02,04,12,8.8
2014,02,04,13,8.8
2014,02,04,14,8.8
2014,02,04,15,8.8
2014,02,04,16,8.8
2014,02,04,17,8.8
2014,02,04,18,8.8
2014,02,04,19,8.9
2014,02,04,20,9.0
2014,02,04,21,9.2
2014,02,04,22,9.2
2014,02,04,23,9.1
2014,02,05,00,9.0
2014,02,05,01,8.9
2014,02,05,02,8.9
2014,02,05,03,8.9
2014,02,05,04,8.8
2014,02,05,05,8.8
2014,02,05,06,8.9
2014,02,05,07,8.8
2014,02,05,08,8.8
2014,02,05,09,8.7
2014,02,05,10,8.7
2014,02,05,11,8.7
2014,02,05,12,8.8
2014,02,05,13,8.7
2014,02,05,14,8.7
2014,02,05,15,8.7
2014,02,05,16,8.7
2014,02,05,17,8.7
2014,02,05,18,8.8
2014,02,05,19,8.8
2014,02,05,20,8.8
2014,02,05,21,8.8
2014,02,05,22,8.8
2014,02,05,23,8.8
2014,02,06,00,8.8
2014,02,06,01,8.8
2014,02,06,02,8.8
2014,02,06,03,8.8
2014,02,06,04,8.8
2014,02,06,05,8.7
2014,02,06,06,8.7
2014,02,06,07,8.7
2014,02,06,08,8.7
2014,02,06,09,8.7
2014,02,06,10,8.7
2014,02,06,11,8.7
2014,02,06,12,8.7
2014,02,06,13,8.6
2014,02,06,14,8.6
2014,02,06,15,8.6
2014,02,06,16,8.6
2014,02,06,17,8.5
2014,02,06,18,8.5
2014,02,06,19,8.5
2014,02,06,20,8.5
2014,02,06,21,8.5
2014,02,06,22,8.5
2014,02,06,23,8.5
2014,02,07,00,8.6
2014,02,07,01,8.5
2014,02,07,02,8.5
2014,02,07,03,8.5
2014,02,07,04,8.5
2014,02,07,05,8.5
2014,02,07,06,8.5
2014,02,07,07,8.5
2014,02,07,08,8.4
2014,02,07,09,8.4
2014,02,07,10,8.4
2014,02,07,11,8.4
2014,02,07,12,8.3
2014,02,07,13,8.3
2014,02,07,14,8.3
2014,02,07,15,8.3
2014,02,07,16,8.3
2014,02,07,17,8.4
2014,02,07,18,8.4
2014,02,07,19,8.4
2014,02,07,20,8.4
2014,02,07,21,8.4
2014,02,07,22,8.5
2014,02,07,23,8.6
2014,02,08,00,8.6
2014,02,08,01,8.6
2014,02,08,02,8.6
2014,02,08,03,8.6
2014,02,08,04,8.6
2014,02,08,05,8.5
2014,02,08,06,8.5
2014,02,08,07,8.5
2014,02,08,08,8.5
2014,02,08,09,8.5
2014,02,08,10,8.5
2014,02,08,11,8.5
2014,02,08,12,8.6
2014,02,08,13,8.6
2014,02,08,14,8.6
2014,02,08,15,8.6
2014,02,08,16,8.6
2014,02,08,17,8.6
2014,02,08,18,8.6
2014,02,08,19,8.6
2014,02,08,20,8.6
2014,02,08,21,8.6
2014,02,08,22,8.6
2014,02,08,23,8.6
2014,02,09,00,8.6
2014,02,09,01,8.6
2014,02,09,02,8.6
2014,02,09,03,8.6
2014,02,09,04,8.6
2014,02,09,05,8.6
2014,02,09,06,8.6
2014,02,09,07,8.6
2014,02,09,08,8.6
2014,02,09,09,8.6
2014,02,09,10,8.6
2014,02,09,11,8.6
2014,02,09,12,8.7
2014,02,09,13,8.7
2014,02,09,14,8.8
2014,02,09,15,8.8
2014,02,09,16,8.8
2014,02,09,17,8.7
2014,02,09,18,8.7
2014,02,09,19,8.8
2014,02,09,20,9.0
2014,02,09,21,9.0
2014,02,09,22,9.1
2014,02,09,23,9.0
2014,02,10,00,9.0
2014,02,10,01,9.0
2014,02,10,02,9.0
2014,02,10,03,9.0
2014,02,10,04,9.0
2014,02,10,05,8.9
2014,02,10,06,9.0
2014,02,10,07,9.0
2014,02,10,08,9.0
2014,02,10,09,9.0
2014,02,10,10,8.9
2014,02,10,11,8.8
2014,02,10,12,8.8
2014,02,10,13,8.8
2014,02,10,14,8.9
2014,02,10,15,8.9
2014,02,10,16,9.0
2014,02,10,17,9.0
2014,02,10,18,9.0
2014,02,10,19,9.1
2014,02,10,20,9.1
2014,02,10,21,9.1
2014,02,10,22,9.1
2014,02,10,23,9.1
2014,02,11,00,9.1
2014,02,11,01,9.1
2014,02,11,02,9.1
2014,02,11,03,9.1
2014,02,11,04,9.1
2014,02,11,05,9.1
2014,02,11,06,9.1
2014,02,11,07,9.1
2014,02,11,08,9.1
2014,02,11,09,9.1
2014,02,11,10,9.1
2014,02,11,11,9.1
2014,02,11,12,9.1
2014,02,11,13,9.1
2014,02,11,14,9.1
2014,02,11,15,9.1
2014,02,11,16,9.1
2014,02,11,17,9.1
2014,02,11,18,9.1
2014,02,11,19,9.1
2014,02,11,20,9.1
2014,02,11,21,9.1
2014,02,11,22,9.1
2014,02,11,23,9.1
2014,02,12,00,9.1
2014,02,12,01,9.1
2014,02,12,02,9.1
2014,02,12,03,9.1
2014,02,12,04,9.1
2014,02,12,05,9.1
2014,02,12,06,9.1
2014,02,12,07,9.2
2014,02,12,08,9.2
2014,02,12,09,9.3
2014,02,12,10,9.4
2014,02,12,11,9.4
2014,02,12,12,9.4
2014,02,12,13,9.4
2014,02,12,14,9.4
2014,02,12,15,9.4
2014,02,12,16,9.4
2014,02,12,17,9.4
2014,02,12,18,9.4
2014,02,12,19,9.4
2014,02,12,20,9.4
2014,02,12,21,9.4
2014,02,12,22,9.4
2014,02,12,23,9.4
2014,02,13,00,9.4
2014,02,13,01,9.4
2014,02,13,02,9.4
2014,02,13,03,9.4
2014,02,13,04,9.3
2014,02,13,05,9.3
2014,02,13,06,9.3
2014,02,13,07,9.3
2014,02,13,08,9.3
2014,02,13,09,9.3
2014,02,13,10,9.3
2014,02,13,11,9.3
2014,02,13,12,9.2
2014,02,13,13,9.2
2014,02,13,14,9.2
2014,02,13,15,9.2
2014,02,13,16,9.2
2014,02,13,17,9.3
2014,02,13,18,9.3
2014,02,13,19,9.4
2014,02,13,20,9.4
2014,02,13,21,9.5
2014,02,13,22,9.5
2014,02,13,23,9.5
2014,02,14,00,9.5
2014,02,14,01,9.4
2014,02,14,02,9.4
2014,02,14,03,9.4
2014,02,14,04,9.4
2014,02,14,05,9.4
2014,02,14,06,9.4
2014,02,14,07,9.4
2014,02,14,08,9.4
2014,02,14,09,9.4
2014,02,14,10,9.4
2014,02,14,11,9.4
2014,02,14,12,9.4
2014,02,14,13,9.4
2014,02,14,14,9.4
