dayDN,surfaceRiver,bottomRiver,EstimatedTemp,plot_date
2013-02-09,6.408662790878958,7.0124501643313915,6.710556477605175,2013-02-09 12:00:00
2013-02-10,6.4310144928823885,6.6425181396772315,6.5367663162798095,2013-02-10 12:00:00
2013-02-11,7.086666666507013,6.949168178026705,7.0179174222668586,2013-02-11 12:00:00
2013-02-12,7.677027026945474,7.719629397444933,7.698328212195204,2013-02-12 12:00:00
2013-02-13,8.17930069916237,8.186226192954518,8.182763446058445,2013-02-13 12:00:00
2013-02-14,8.565375000035623,8.756381847895248,8.660878423965436,2013-02-14 12:00:00
2013-02-15,8.517771084454493,9.0800007165931,8.798885900523796,2013-02-15 12:00:00
2013-02-16,8.456580645159125,9.085993128726955,8.77128688694304,2013-02-16 12:00:00
2013-02-17,8.34524861873822,8.67524816883751,8.510248393787865,2013-02-17 12:00:00
2013-02-18,7.9360204082316885,8.339888940211527,8.137954674221607,2013-02-18 12:00:00
2013-02-19,7.105555555555556,8.272384621919652,7.688970088737604,2013-02-19 12:00:00
2013-02-20,6.868055642949097,8.204880303627778,7.536467973288437,2013-02-20 12:00:00
2013-02-21,6.756290264925234,7.3600443857647955,7.058167325345014,2013-02-21 12:00:00
2013-02-22,6.807075987638131,7.313259705209056,7.060167846423593,2013-02-22 12:00:00
2013-02-23,6.768510638190872,6.992689506379568,6.88060007228522,2013-02-23 12:00:00
2013-02-24,6.6558052435047115,6.925496635291,6.790650939397856,2013-02-24 12:00:00
2013-02-25,6.933869565204272,7.025768529990882,6.9798190475975765,2013-02-25 12:00:00
2013-02-26,7.004424778744744,7.2088423176122856,7.106633548178515,2013-02-26 12:00:00
2013-02-27,6.9794000001056125,7.320872117652154,7.150136058878884,2013-02-27 12:00:00
2013-02-28,7.519500000208617,7.459068671961597,7.489284336085107,2013-02-28 12:00:00
2013-03-01,8.456465517057843,8.201757072449672,8.329111294753758,2013-03-01 12:00:00
2013-03-02,9.100886075885706,9.270123153311584,9.185504614598646,2013-03-02 12:00:00
2013-03-03,9.089681274901734,9.631720356715144,9.360700815808439,2013-03-03 12:00:00
2013-03-04,8.341554621962846,8.987685108702443,8.664619865332645,2013-03-04 12:00:00
2013-03-05,8.091363637003708,8.659074023747722,8.375218830375715,2013-03-05 12:00:00
2013-03-06,7.181428571434559,7.24987336488709,7.2156509681608245,2013-03-06 12:00:00
2013-03-07,7.444477612030372,7.71968567100198,7.582081641516176,2013-03-07 12:00:00
2013-03-08,7.501415094440838,7.827397845411799,7.664406469926318,2013-03-08 12:00:00
2013-03-09,7.65116822413926,8.0247239229147,7.83794607352698,2013-03-09 12:00:00
2013-03-10,7.609058823633939,8.055117415889432,7.832088119761686,2013-03-10 12:00:00
2013-03-11,7.793289473737148,8.08170560385443,7.937497538795789,2013-03-11 12:00:00
2013-03-12,8.731780821867288,8.693200779340536,8.712490800603913,2013-03-12 12:00:00
2013-03-13,9.549361702196617,9.705072757078891,9.627217229637754,2013-03-13 12:00:00
2013-03-14,10.109179104497628,10.480384959495195,10.294782031996412,2013-03-14 12:00:00
2013-03-15,10.171900826329905,10.453107773902635,10.31250430011627,2013-03-15 12:00:00
2013-03-16,10.362580645128844,10.561450162661279,10.462015403895062,2013-03-16 12:00:00
2013-03-17,9.880499999730102,10.336024965166063,10.108262482448083,2013-03-17 12:00:00
2013-03-18,9.529166667754453,10.126957520593024,9.828062094173738,2013-03-18 12:00:00
2013-03-19,9.402987012947825,9.406193793504352,9.404590403226088,2013-03-19 12:00:00
2013-03-20,8.786854951582454,9.036343035931672,8.911598993757064,2013-03-20 12:00:00
2013-03-21,8.170722890217082,8.66649227835899,8.418607584288036,2013-03-21 12:00:00
