Tm (UTC),Qnet,Qnet_clean,lowpass
2012-12-21 03:00:00,-226.11725104523094,-226.11725104523094,-140.85544702314382
2012-12-21 04:00:00,-245.84835655464957,-245.84835655464957,-139.30901978485824
2012-12-21 05:00:00,-241.07196128820163,-241.07196128820163,-136.77775622171131
2012-12-21 06:00:00,-223.6130309054351,-223.6130309054351,-133.27165316880541
2012-12-21 07:00:00,-214.56739572190463,-214.56739572190463,-128.8314373851743
2012-12-21 08:00:00,-180.87900616108433,-180.87900616108433,-123.52882862809135
2012-12-21 09:00:00,-150.70755257469648,-150.70755257469648,-117.46544565487261
2012-12-21 10:00:00,-126.90120193161397,-126.90120193161397,-110.77039234026313
2012-12-21 11:00:00,-120.684531766604,-120.684531766604,-103.59662702598942
2012-12-21 12:00:00,-125.35997406984562,-125.35997406984562,-96.11626890154187
2012-12-21 13:00:00,-98.35072014768109,-98.35072014768109,-88.51503088527667
2012-12-21 14:00:00,-95.14117177811058,-95.14117177811058,-80.98599333102496
2012-12-21 15:00:00,-113.6453498156501,-113.6453498156501,-73.72295224831385
2012-12-21 16:00:00,-115.50599402605619,-115.50599402605619,-66.91359320976966
2012-12-21 17:00:00,-80.15817798730784,-80.15817798730784,-60.732760262173414
2012-12-21 18:00:00,21.311008118673495,21.311008118673495,-55.33611039921643
2012-12-21 19:00:00,129.27764590732255,129.27764590732255,-50.854466758829474
2012-12-21 20:00:00,184.3964702267923,184.3964702267923,-47.389195413769244
2012-12-21 21:00:00,178.41380578638052,178.41380578638052,-45.00890971390548
2012-12-21 22:00:00,95.31213650346277,95.31213650346277,-43.74773375624721
2012-12-21 23:00:00,7.399339320628153,7.399339320628153,-43.605231861030724
2012-12-22 00:00:00,-65.02740792599144,-65.02740792599144,-44.54795630558738
2012-12-22 01:00:00,-151.61476901727798,-151.61476901727798,-46.512417270150046
2012-12-22 02:00:00,-117.53865340099249,-117.53865340099249,-49.40917038761188
2012-12-22 03:00:00,-108.61924386409251,-108.61924386409251,-53.127665946562686
2012-12-22 04:00:00,-130.29559803828647,-130.29559803828647,-57.541507141948316
2012-12-22 05:00:00,-115.77821700467149,-115.77821700467149,-62.51380508034107
2012-12-22 06:00:00,-99.42039462307201,-99.42039462307201,-67.9023741400572
2012-12-22 07:00:00,-104.75155732255648,-104.75155732255648,-73.56456828118075
2012-12-22 08:00:00,-110.40902024089571,-110.40902024089571,-79.36161078355472
2012-12-22 09:00:00,-103.7013543354006,-103.7013543354006,-85.16231421094511
