YY,MM,DD,hh,WTMP
2013,11,17,23,12
2013,11,18,0,12.1
2013,11,18,1,12.3
2013,11,18,2,12.3
2013,11,18,3,12.3
2013,11,18,4,12.3
2013,11,18,5,12.4
2013,11,18,6,12.4
2013,11,18,7,12.4
2013,11,18,8,12.3
2013,11,18,9,12.3
2013,11,18,10,12.3
2013,11,18,11,12.3
2013,11,18,12,12.3
2013,11,18,13,12.4
2013,11,18,14,12.4
2013,11,18,15,12.4
2013,11,18,16,12.4
2013,11,18,17,12.4
2013,11,18,18,12.4
2013,11,18,19,12.3
2013,11,18,20,12.3
2013,11,18,21,12.3
2013,11,18,22,12.3
2013,11,18,23,12.3
2013,11,19,0,12.3
2013,11,19,1,12.3
2013,11,19,2,12.4
2013,11,19,3,12.4
2013,11,19,4,12.4
2013,11,19,5,12.4
2013,11,19,6,12.4
2013,11,19,7,12.4
2013,11,19,8,12.4
2013,11,19,9,12.4
2013,11,19,10,12.4
2013,11,19,11,12.4
2013,11,19,12,12.4
2013,11,19,13,12.4
2013,11,19,14,12.4
2013,11,19,15,12.4
2013,11,19,16,12.4
2013,11,19,17,12.4
2013,11,19,18,12.4
2013,11,19,19,12.4
2013,11,19,20,12.4
2013,11,19,21,12.4
2013,11,19,22,12.4
2013,11,19,23,12.4
2013,11,20,0,12.3
2013,11,20,1,12.3
2013,11,20,2,12.3
2013,11,20,3,12.3
2013,11,20,4,12.2
2013,11,20,5,12.2
2013,11,20,6,12.2
2013,11,20,7,12.1
2013,11,20,8,12.1
2013,11,20,9,12
2013,11,20,10,12
2013,11,20,11,12
2013,11,20,12,11.9
2013,11,20,13,11.9
2013,11,20,14,11.9
2013,11,20,15,11.9
2013,11,20,16,11.9
2013,11,20,17,11.9
2013,11,20,18,11.9
2013,11,20,19,11.9
2013,11,20,20,11.9
2013,11,20,21,11.9
2013,11,20,22,11.9
2013,11,20,23,11.8
2013,11,21,0,11.7
2013,11,21,1,11.6
2013,11,21,2,11.5
2013,11,21,3,11.3
2013,11,21,4,11.3
2013,11,21,5,11.2
2013,11,21,6,11.2
2013,11,21,7,11.2
2013,11,21,8,11.2
2013,11,21,9,11.2
2013,11,21,10,11.3
2013,11,21,11,11.3
2013,11,21,12,11.1
2013,11,21,13,11
2013,11,21,14,10.9
2013,11,21,15,10.9
2013,11,21,16,10.9
2013,11,21,17,10.9
2013,11,21,18,10.9
2013,11,21,19,11
2013,11,21,20,11
2013,11,21,21,11.1
2013,11,21,22,11.1
2013,11,21,23,11.2
2013,11,22,0,11.2
2013,11,22,1,11.1
2013,11,22,2,11
2013,11,22,3,10.9
2013,11,22,4,10.8
2013,11,22,5,10.5
2013,11,22,6,10.7
2013,11,22,7,10.6
2013,11,22,8,10.8
2013,11,22,9,10.9
2013,11,22,10,10.8
2013,11,22,11,10.7
2013,11,22,12,10.3
2013,11,22,13,10.2
2013,11,22,14,10.2
2013,11,22,15,10.2
2013,11,22,16,10.3
2013,11,22,17,10.3
2013,11,22,18,10.3
2013,11,22,19,10.4
2013,11,22,20,10.4
2013,11,22,21,10.9
2013,11,22,22,10.9
2013,11,22,23,11.1
2013,11,23,0,11.2
2013,11,23,1,11.2
2013,11,23,2,11.2
2013,11,23,3,11.2
2013,11,23,4,11.1
2013,11,23,5,11.1
2013,11,23,6,11.1
2013,11,23,7,11.1
2013,11,23,8,11.1
2013,11,23,9,11.1
2013,11,23,10,11.1
2013,11,23,11,11.1
2013,11,23,12,10.8
2013,11,23,13,10.1
2013,11,23,14,10.1
2013,11,23,15,10.1
2013,11,23,16,10.1
2013,11,23,17,10.1
2013,11,23,18,10.3
2013,11,23,19,10.4
2013,11,23,20,10.5
2013,11,23,21,10.6
2013,11,23,22,10.3
2013,11,23,23,10.4
2013,11,24,0,10.4
2013,11,24,1,10.4
2013,11,24,2,10.4
2013,11,24,3,10.5
2013,11,24,4,10.4
2013,11,24,5,10.3
2013,11,24,6,10.2
2013,11,24,7,10.2
2013,11,24,8,10.2
2013,11,24,9,10.2
2013,11,24,10,10.3
2013,11,24,11,10.3
2013,11,24,12,10.3
2013,11,24,13,10.3
2013,11,24,14,10.3
2013,11,24,15,10.2
2013,11,24,16,10.2
2013,11,24,17,10.3
2013,11,24,18,10.7
2013,11,24,19,11
2013,11,24,20,11.2
2013,11,24,21,11.3
2013,11,24,22,11.2
2013,11,24,23,11.1
2013,11,25,0,11.3
2013,11,25,1,11.3
2013,11,25,2,11.3
2013,11,25,3,11.4
2013,11,25,4,11.4
2013,11,25,5,11.5
2013,11,25,6,11.5
2013,11,25,7,11.5
2013,11,25,8,11.4
2013,11,25,9,11.4
2013,11,25,10,11.5
2013,11,25,11,11.5
2013,11,25,12,11.5
2013,11,25,13,11.5
2013,11,25,14,11.5
