Y,M,D,h,min,SAL
2013,5,6,4,40,32.6
2013,5,6,4,50,32.6
2013,5,6,5,0,32.6
2013,5,6,5,10,32.6
2013,5,6,5,20,32.6
2013,5,6,5,30,32.6
2013,5,6,5,40,32.6
2013,5,6,5,50,32.6
2013,5,6,6,0,32.6
2013,5,6,6,10,32.6
2013,5,6,6,20,32.5
2013,5,6,6,30,32.5
2013,5,6,6,40,32.5
2013,5,6,6,50,32.5
2013,5,6,7,0,32.5
2013,5,6,7,10,32.4
2013,5,6,7,20,32.4
2013,5,6,7,30,32.3
2013,5,6,7,40,32.3
2013,5,6,7,50,32.2
2013,5,6,8,0,32.2
2013,5,6,8,10,32.1
2013,5,6,8,20,32.1
2013,5,6,8,30,32.1
2013,5,6,8,40,32.1
2013,5,6,8,50,32.2
2013,5,6,9,0,32.2
2013,5,6,9,10,32.1
2013,5,6,9,20,32.1
2013,5,6,9,30,32.1
2013,5,6,9,40,32.1
2013,5,6,9,50,32.2
2013,5,6,10,0,32.2
2013,5,6,10,10,32.2
2013,5,6,10,20,32.2
2013,5,6,10,30,32
2013,5,6,10,40,99
2013,5,6,10,50,31.5
2013,5,6,11,0,31.5
2013,5,6,11,10,31.5
2013,5,6,11,20,31.4
2013,5,6,11,30,31.4
2013,5,6,11,40,31.2
2013,5,6,11,50,31.2
2013,5,6,12,0,31.3
2013,5,6,12,10,31.3
2013,5,6,12,20,31.3
2013,5,6,12,30,31.3
2013,5,6,12,40,31.4
2013,5,6,12,50,31.4
2013,5,6,13,0,31.5
2013,5,6,13,10,31.6
2013,5,6,13,20,31.6
2013,5,6,13,30,31.7
2013,5,6,13,40,31.7
2013,5,6,13,50,31.8
2013,5,6,14,0,31.9
2013,5,6,14,10,31.9
2013,5,6,14,20,32
2013,5,6,14,30,32.1
2013,5,6,14,40,32.2
2013,5,6,14,50,32.3
2013,5,6,15,0,32.4
2013,5,6,15,10,32.3
2013,5,6,15,20,32.4
2013,5,6,15,30,32.3
2013,5,6,15,40,32.3
2013,5,6,15,50,32.3
2013,5,6,16,0,32.2
2013,5,6,16,10,32
2013,5,6,16,20,31.9
2013,5,6,16,30,31.9
2013,5,6,16,40,31.8
2013,5,6,16,50,31.8
2013,5,6,17,0,31.8
2013,5,6,17,10,31.8
2013,5,6,17,20,31.7
2013,5,6,17,30,31.7
2013,5,6,17,40,31.7
2013,5,6,17,50,31.7
2013,5,6,18,0,31.7
2013,5,6,18,10,31.7
2013,5,6,18,20,31.7
2013,5,6,18,30,31.7
2013,5,6,18,40,31.7
2013,5,6,18,50,31.7
2013,5,6,19,0,31.7
2013,5,6,19,10,31.7
2013,5,6,19,20,31.7
2013,5,6,19,30,31.8
2013,5,6,19,40,31.8
2013,5,6,19,50,31.8
2013,5,6,20,0,31.8
2013,5,6,20,10,31.9
2013,5,6,20,20,31.9
2013,5,6,20,30,31.9
2013,5,6,20,40,31.9
2013,5,6,20,50,32
2013,5,6,21,0,32.3
2013,5,6,21,10,32.2
2013,5,6,21,20,32.2
2013,5,6,21,30,32.3
2013,5,6,21,40,99
2013,5,6,21,50,32.2
2013,5,6,22,0,32.2
2013,5,6,22,10,32.3
2013,5,6,22,20,32.3
2013,5,6,22,30,32.3
2013,5,6,22,40,32.3
2013,5,6,22,50,32.2
2013,5,6,23,0,32.3
2013,5,6,23,10,32.2
2013,5,6,23,20,32.2
2013,5,6,23,30,32.1
2013,5,6,23,40,32.1
2013,5,6,23,50,32
2013,5,7,0,0,31.9
2013,5,7,0,10,31.9
2013,5,7,0,20,31.9
2013,5,7,0,30,31.7
2013,5,7,0,40,32
2013,5,7,0,50,31.7
2013,5,7,1,0,31.8
2013,5,7,1,10,31.9
2013,5,7,1,20,31.6
2013,5,7,1,30,31.7
2013,5,7,1,40,31.6
2013,5,7,1,50,31.8
2013,5,7,2,0,31.8
2013,5,7,2,10,31.5
2013,5,7,2,20,31.7
2013,5,7,2,30,31.5
2013,5,7,2,40,31.5
2013,5,7,2,50,31.7
2013,5,7,3,0,31.7
2013,5,7,3,10,31.4
2013,5,7,3,20,31.4
2013,5,7,3,30,31.4
2013,5,7,3,40,31.3
2013,5,7,3,50,31.3
2013,5,7,4,0,31.2
2013,5,7,4,10,31.2
2013,5,7,4,20,31.3
2013,5,7,4,30,31.3
2013,5,7,4,40,31.3
2013,5,7,4,50,31.4
2013,5,7,5,0,31.4
2013,5,7,5,10,31.5
2013,5,7,5,20,31.5
2013,5,7,5,30,31.5
2013,5,7,5,40,31.5
2013,5,7,5,50,31.5
2013,5,7,6,0,31.5
2013,5,7,6,10,31.4
2013,5,7,6,20,31.4
2013,5,7,6,30,31.4
2013,5,7,6,40,31.4
2013,5,7,6,50,31.4
2013,5,7,7,0,31.5
2013,5,7,7,10,31.5
2013,5,7,7,20,31.5
2013,5,7,7,30,31.6
2013,5,7,7,40,31.6
2013,5,7,7,50,31.6
2013,5,7,8,0,31.7
2013,5,7,8,10,31.6
2013,5,7,8,20,31.7
2013,5,7,8,30,31.6
2013,5,7,8,40,31.7
2013,5,7,8,50,31.7
2013,5,7,9,0,31.6
2013,5,7,9,10,31.6
2013,5,7,9,20,31.6
2013,5,7,9,30,31.6
2013,5,7,9,40,31.6
2013,5,7,9,50,31.5
2013,5,7,10,0,31.5
2013,5,7,10,10,31.5
2013,5,7,10,20,31.5
2013,5,7,10,30,31.5
2013,5,7,10,40,31.5
2013,5,7,10,50,31.4
2013,5,7,11,0,31.3
2013,5,7,11,10,31.3
2013,5,7,11,20,31.2
2013,5,7,11,30,31.2
2013,5,7,11,40,31.1
2013,5,7,11,50,31.1
2013,5,7,12,0,31.1
2013,5,7,12,10,31.1
2013,5,7,12,20,31
2013,5,7,12,30,31
2013,5,7,12,40,31
2013,5,7,12,50,30.9
2013,5,7,13,0,30.9
2013,5,7,13,10,30.9
2013,5,7,13,20,30.8
2013,5,7,13,30,30.8
2013,5,7,13,40,30.8
2013,5,7,13,50,30.7
2013,5,7,14,0,30.7
2013,5,7,14,10,30.7
2013,5,7,14,20,30.7
2013,5,7,14,30,30.7
2013,5,7,14,40,30.6
2013,5,7,14,50,30.6
2013,5,7,15,0,30.6
2013,5,7,15,10,30.6
2013,5,7,15,20,30.6
2013,5,7,15,30,30.5
2013,5,7,15,40,30.5
2013,5,7,15,50,30.4
2013,5,7,16,0,30.4
2013,5,7,16,10,30.4
2013,5,7,16,20,30.4
2013,5,7,16,30,30.3
2013,5,7,16,40,30.3
2013,5,7,16,50,30.3
2013,5,7,17,0,30.3
2013,5,7,17,10,30.3
2013,5,7,17,20,30.3
2013,5,7,17,30,30.3
2013,5,7,17,40,30.3
2013,5,7,17,50,30.3
2013,5,7,18,0,30.3
2013,5,7,18,10,30.4
