DN,C,S,T,P
735584.4270833333,30.323060817457467,28.11757724961217,8.780000001341104,
735584.4305555555,30.257641078088373,28.050598704660164,8.78,
735584.4340277778,30.243445387393212,28.036067468972348,8.78,
735584.4375,29.8276078523087,27.6887988544093,8.68,
735584.4409722221,29.868475165050604,27.72284751068015,8.689999999664723,
735584.4444444444,29.945053845910554,27.801310424586408,8.69,
735584.4479166666,29.97253297304164,27.813773359691243,8.71,
735584.4513888889,29.68480187471742,27.581448699432887,8.63,
735584.4548611111,29.60478161072329,27.49942074220437,8.63,
735584.4583333333,29.25020647151323,27.190051718402408,8.560000002346934,
735584.4618055555,29.340300616302155,27.28243767295145,8.56,
735584.4652777778,29.353183957198567,27.295651962935402,8.56,
735584.46875,29.047554016762845,27.02057401405375,8.51,
735584.4722222221,28.765858275380232,26.78486181426892,8.440000002346933,
735584.4756944444,28.623281413459924,26.65367403765769,8.420000000670552,
735584.4791666666,28.235106213525707,26.29291648810962,8.37,
735584.4826388889,28.168492927564944,26.239474376641216,8.35,
735584.4861111111,28.090964604313346,26.167362532221766,8.34,
735584.4895833333,28.12506969424448,26.202356072798192,8.34,
735584.4930555555,27.960064586127338,26.055276221475967,8.31,
735584.4965277778,27.648860997830838,25.780043677363746,8.25,
735584.5,27.42751178496971,25.60386356728347,8.18,
735584.5034722221,27.28609470586746,25.487615074610552,8.140000001341104,
735584.5069444444,27.22130901431421,25.442754967953324,8.11000000100583,
735584.5104166666,27.210959433597704,25.432111923412847,8.11,
735584.5138888889,26.712745102479197,24.98439044216958,8.02,
735584.5173611111,26.354691712619527,24.679762890859415,7.93,
735584.5208333333,26.1766697755835,24.538629010270128,7.870000002011657,
735584.5243055555,26.70484627450146,25.01191338510508,7.97,
735584.5277777778,26.698842458635202,24.991465454585683,7.99,
735584.53125,26.578423315831355,24.888852729295493,7.96,
735584.5347222221,26.063178019437494,24.428728702128925,7.860000003352762,
735584.5381944444,25.833423709723544,24.233793178921292,7.800000002011656,
735584.5416666666,26.270120920502563,24.641963533445747,7.86,
735584.5451388889,26.3681540964444,24.714786872433592,7.9,
735584.5486111111,26.19954543905098,24.548162144216704,7.89,
735584.5520833333,26.1330134821051,24.507668083519224,7.850000001341104,
735584.5555555555,26.097097183064022,24.470658654863474,7.85,
735584.5590277778,26.270120920502563,24.62084547748728,7.89,
735584.5625,25.885442405555036,24.28740368673766,7.8,
735584.5659722221,25.676818563583055,24.106956917010628,7.750000001676381,
735584.5694444444,25.800136895664235,24.213349443714108,7.779999998994172,
735584.5729166666,25.660322172181072,24.083050812329574,7.76,
735584.5763888889,25.922616619195395,24.32572399862028,7.8,
735584.5798611111,27.20050395623578,25.479369103023835,8.03,
735584.5833333333,27.648860982798496,25.84609115264242,8.15999999564141,
735584.5868055555,27.79775985132819,25.96980849263367,8.2,
735584.5902777778,28.018476900923574,26.159760398045847,8.25,
735584.59375,27.97127178668848,26.11864747178922,8.24,
735584.5972222221,27.97127178668848,26.111227444263967,8.249999999664723,
735584.6006944444,27.701185560492632,25.87049365522477,8.20000000167638,
735584.6041666666,27.55590250386087,25.743129132375234,8.17,
735584.6076388889,27.980299114120342,26.105672504659555,8.27,
735584.6111111111,27.74496085984687,25.89341485853739,8.23,
735584.6145833333,27.315545103495424,25.51788707985805,8.140000003017485,
735584.6180555555,27.23594251454822,25.443314009635042,8.13,
735584.6215277778,26.88909745697917,25.130004097455316,8.07,
735584.625,26.472866571559496,24.751942034217247,8.0,
735584.6284722221,26.560792135447777,24.828170703397053,8.019999999329448,
735584.6319444444,26.970118816617237,25.19894134812885,8.089999997653067,
735584.6354166666,26.95186599809597,25.16584740795017,8.11,
735584.6388888889,26.788521069329427,25.02664870444234,8.07,
735584.6423611111,26.756643544292285,25.001023067396048,8.06,
735584.6458333333,26.726749775167267,24.984545291897145,8.04000000067055,
735584.6493055555,26.619786952178405,24.88880816373482,8.02,
735584.6527777778,26.51959515928179,24.821210597709115,7.97,
735584.65625,27.20050395623578,25.45759134565328,8.06,
735584.6597222221,27.80877391241838,25.995919244611475,8.179999995976686,
735584.6631944444,28.582556928099322,26.679885574045603,8.329999994970859,
735584.6666666666,29.29907063656692,27.309611459488426,8.47,
735584.6701388889,30.06669253943951,27.98125059508532,8.62,
735584.6736111111,30.463754455749502,28.33351654477739,8.69,
735584.6770833333,30.659428586543537,28.502435069558942,8.729999998658895,
735584.6805555555,30.80499907715141,28.627764928431084,8.76,
735584.6840277778,30.86790835756285,28.676202583389383,8.78,
735584.6875,30.88908283425828,28.697941138736695,8.78,
735584.6909722221,30.9525009468025,28.754956408257026,8.789999999664722,
735584.6944444444,30.97685992406548,28.788079387605585,8.780000000335276,
735584.6979166666,30.95250094892876,28.74685495825549,8.8,
735584.7013888889,30.982923891069735,28.778083543475194,8.8,
735584.7048611111,31.00728220722345,28.786866079808195,8.82,
735584.7083333333,31.03780645482254,28.834430632202192,8.800000000670554,
735584.7118055555,31.00728220722345,28.803090082712917,8.8,
735584.7152777778,31.037806455845946,28.818188820766537,8.82,
735584.71875,31.068432680684026,28.841496267636195,8.83,
735584.7222222221,31.05918323329316,28.83200574149333,8.83,
735584.7256944444,31.068432680373913,28.825258357945618,8.849999999329446,
735584.7291666666,31.07757928655123,28.834638430953525,8.85,
735584.7326388889,31.07757928655123,28.834638430953525,8.85,
735584.7361111111,31.108410034262548,28.882520278082357,8.83,
735584.7395833333,31.117556340203013,28.86751274323485,8.859999998994171,
735584.7430555555,31.092994757764988,28.850448282666207,8.85,
735584.7465277778,31.07757928655123,28.82652224933449,8.86,
735584.75,31.108410034262548,28.8581339027184,8.86,
735584.7534722221,31.102243947095037,28.827462928517782,8.889999998994172,
735584.7569444444,31.111493066079785,28.853172839663937,8.87000000067055,
735584.7604166666,31.111493066389887,28.836938850416008,8.89,
735584.7638888889,31.132971311288408,28.85894534312706,8.89,
735584.7673611111,31.102243946888304,28.827462927489456,8.89,
735584.7708333333,31.14232296660288,28.868527682444906,8.89,
735584.7743055555,31.108410034262548,28.82566950665168,8.9,
735584.7777777778,31.102243946888304,28.827462927489456,8.89,
735584.78125,31.123722351647054,28.841353522776803,8.9,
735584.7847222221,31.132971310978313,28.826495835428975,8.929999998994171,
735584.7881944444,31.12372235195715,28.817029884767987,8.93,
735584.7916666666,31.11755634050967,28.810719437105973,8.93,
735584.7951388889,31.132971311288408,28.818392502413104,8.94,
735584.7986111111,31.13924001187248,28.824806684334078,8.94,
735584.8020833333,31.16390345028727,28.850044308347535,8.94,
735584.8055555555,31.142322967946633,28.827961256633557,8.94,
735584.8090277778,31.114576090834,28.80766944093795,8.93,
735584.8125,31.123722351647054,28.80892923682613,8.94,
735584.8159722221,31.132971310978313,28.80219667637652,8.95999999932945,
735584.8194444444,31.148488857059284,28.818065682640416,8.96,
735584.8229166666,31.132971311288408,28.802196676150796,8.96,
735584.8263888889,31.132971311288408,28.794104178222224,8.97,
735584.8298611111,31.108410034262548,28.75283611147288,8.99,
735584.8333333333,31.139240010838822,28.78433509623758,8.99,
735584.8368055555,31.123722351647054,28.76040113869675,9.0,
735584.8402777778,31.114576090834,28.759135611409615,8.99,
735584.84375,31.108410034262548,28.744761539775034,9.0,
735584.8472222221,31.01951256130656,28.65398589682542,9.0,
735584.8506944444,30.970795927516132,28.604255862834535,9.0,
735584.8541666666,30.885999199305584,28.541763395631612,8.97,
735584.8576388889,30.736431615728144,28.39706269850959,8.96,
735584.8611111111,30.724506336020994,28.384890507447974,8.96,
735584.8645833333,30.633005478479785,28.307423772130406,8.940000000670551,
735584.8680555555,30.65356828129305,28.304543922162548,8.97,
735584.8715277778,30.5860176303681,28.243583846224958,8.96,
735584.875,30.62416332007754,28.258671608953772,8.99,
735584.8784722221,30.542214786699713,28.19098712559069,8.970000000670552,
735584.8819444444,30.348774420813147,28.001724944612263,8.960000000335278,
735584.8854166666,30.189848713925148,27.86333745164426,8.93,
735584.8888888889,30.116904619224997,27.789020032389637,8.93,
735584.8923611111,29.663382219228833,27.381375080371583,8.86,
735584.8958333333,29.281030929768292,27.037924722831228,8.800000002011657,
735584.8993055555,29.32731371673926,27.06981543480952,8.82,
735584.9027777778,29.14585511010151,26.907882872767633,8.79,
735584.90625,28.90566187030675,26.68604029698081,8.76,
735584.9097222221,28.717309994256816,26.516843337981207,8.730000001005829,
735584.9131944444,28.57532078816836,26.37239051730685,8.73,
735584.9166666666,28.395569039105037,26.189660432759837,8.73,
735584.9201388889,28.37218205194339,26.173274851436528,8.72,
